Wavenumber (cm⁻¹),Importance,sample_type,train_percentage,test_name,target_variable,accuracy,model,search_type
2975.644138788698,0.0011967505748899,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2973.715659113528,0.0013217200676621,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2971.787179438357,0.0014119199399793,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2969.858699763186,0.0014650426693037,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2967.930220088015,0.0014796739315939,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2966.001740412844,0.0014580680298011,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2964.073260737673,0.0014184389759038,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2962.144781062502,0.0013832238866684,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2960.216301387331,0.0013571208153962,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2958.287821712161,0.00133295737479,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2956.359342036989,0.0013021846087107,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2954.430862361819,0.0012655004370893,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2952.502382686648,0.0012384252198505,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2950.573903011477,0.0012273949526653,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2948.645423336306,0.0012265875145271,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2946.716943661135,0.0012329232378127,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2944.788463985964,0.0012394912516004,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2942.859984310793,0.0012452784872537,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2940.931504635622,0.0012545478880441,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2939.003024960452,0.0012620486597781,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2937.074545285281,0.0012629050266887,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2935.146065610109,0.0012570388935595,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2933.217585934939,0.0012438485893096,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2931.289106259768,0.0012234098027469,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2929.360626584597,0.0011989540943223,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2927.432146909426,0.0011755992297438,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2925.503667234255,0.001155233790157,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2923.575187559084,0.0011390196306329,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2921.646707883913,0.0011276694729235,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2919.718228208742,0.0011154853652939,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2917.789748533572,0.0011020673856821,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2915.861268858401,0.0010941979569486,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2913.93278918323,0.0010945563008057,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2912.004309508059,0.0011090296150352,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2910.075829832888,0.0011377433487071,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2908.147350157717,0.0011670937138529,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2906.218870482546,0.0011896851121937,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2904.290390807375,0.0012065298117628,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2902.361911132204,0.0012205974251975,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2900.433431457033,0.0012338079748797,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2898.504951781862,0.0012426512548198,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2896.576472106692,0.0012476931790267,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2894.647992431521,0.001252332377719,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2892.71951275635,0.0012555031884926,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2890.791033081179,0.0012603097548092,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2888.862553406008,0.0012656864113199,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2886.934073730837,0.0012624200546589,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2885.005594055666,0.001252047853855,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2883.077114380495,0.0012441352350396,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2881.148634705325,0.0012427555367112,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2879.220155030153,0.0012470578752084,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2877.291675354983,0.0012503315332004,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2875.363195679812,0.0012448735979235,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2873.434716004641,0.0012320804233423,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
