Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²,run_id,run_name
1124.303650624635,0.006604310946491609,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1120.446691274293,0.0065398316974814704,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1035.593585566773,0.0057683944963364975,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1230.370032759034,0.005766388244336021,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
968.0967969357921,0.005721110809120966,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1162.873244128053,0.005643147301407708,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1054.878382318482,0.005473386119992305,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1128.160609974977,0.005465956986766004,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1133.946049000489,0.005409052321687418,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1226.513073408692,0.005403573436001634,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1037.522065241944,0.005371911537350655,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1024.022707515748,0.005349580705434652,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1103.090374197755,0.005308280334225662,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1014.380309139893,0.005176727971276739,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,7.4462682525487764,5.593214319120686,13.70892245066219,-0.07012823383136535,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1643.064683245607,0.006720652840473646,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1641.136203570436,0.006430490946346902,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1072.23469939502,0.006296939653452244,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1070.306219719849,0.0062758160271213686,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1074.163179070191,0.006162419574839862,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1068.377740044679,0.006112256464408926,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1076.091658745362,0.006026671762859617,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1078.020138420533,0.005927741431836017,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1066.449260369508,0.005827791359985723,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1079.948618095704,0.005819590554922711,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1081.877097770875,0.005762591772578857,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1083.805577446046,0.005600762073023178,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1168.658683153565,0.005570925496598812,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1064.520780694337,0.005537910354483129,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1220.72763438318,0.005528161631949397,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1166.730203478395,0.005512892777985469,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1120.446691274293,0.005488547449353483,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.600501020646983,4.986622182922575,12.267983182064853,0.15916211290089044,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
