Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²
2528.23685414905,0.0047452831459924155,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2510.880537072512,0.004411338336273548,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2615.01843953174,0.004304339562051061,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
1261.225707561769,0.004284534455568,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
1590.995732015992,0.007027007351499748,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1589.067252340822,0.0069739254066228905,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1592.924211691163,0.006900612054089839,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1587.138772665651,0.006868981717805929,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1594.852691366334,0.006609358871225987,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1585.21029299048,0.00645654756233278,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1596.781171041505,0.006167463358330217,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1583.281813315309,0.005754546385401614,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1598.709650716676,0.005705287670952985,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
2726.870260691652,0.005675720195267437,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
2728.798740366823,0.005515866372661309,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1581.353333640138,0.00536928657716841,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1600.638130391847,0.005172617238323099,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1579.424853964967,0.0048318056153445164,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
2715.299382640627,0.004638635247163529,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1602.566610067018,0.004602300123862219,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
2724.941781016481,0.004499624199322403,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
2730.727220041994,0.00449483739912738,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1577.496374289796,0.0041573119298301915,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
1604.495089742189,0.0040556386753347875,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,447.2150117132907,364.00881250000003,17.61552615608034,0.04362707822965295
2508.952057397341,0.00856457018243268,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2503.166618371828,0.008164282756169271,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2522.451415123537,0.007470251160793688,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2574.520366353152,0.007429403697349559,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2561.021008626955,0.007208369997211741,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2520.522935448366,0.006743151746477774,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2547.521650900759,0.006660255628619526,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2559.092528951784,0.00656739449059939,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2518.594455773195,0.0061556744944054696,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2586.091244404177,0.0060449499670497085,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2551.378610251101,0.005635116797954698,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
1074.163179070191,0.00547521172025693,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2537.879252524904,0.005318498096248852,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2532.093813499392,0.005151604376716703,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2576.448846028322,0.004961034198203016,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
1137.803008350831,0.004775577007656727,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2528.23685414905,0.0047452831459924155,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2510.880537072512,0.004411338336273548,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
2615.01843953174,0.004304339562051061,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
1261.225707561769,0.004284534455568,anaerobicthreshold_absolute,SERUM,0.8,Random Forest Regressor,GridSearchCV,437.94439298717623,349.8449375,17.167310511712596,0.08286669282594039
929.5272034323739,0.00617176835566766,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
931.4556831075452,0.006084049131741275,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
952.6689595344246,0.006007015800749385,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
950.7404798592538,0.005959791203804125,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
933.3841627827155,0.005860783366911976,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
