mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,Sample Type,Train Percentage,Model,param_criterion,param_max_depth,param_max_features,param_n_estimators,criterion,max_depth,max_features,n_estimators,param_min_samples_leaf,param_min_samples_split,param_splitter,min_samples_leaf,min_samples_split,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_bootstrap,bootstrap,param_gamma,param_min_child_weight,gamma,min_child_weight
0.018886518478393555,0.0036700823023563802,0.00035119056701660156,5.692165558964406e-06,relu,0.0001,"(50, 50)",adaptive,adam,-1281.563826109631,-1070.3964323507475,-1270.8982725743326,-1189.8307860405398,-383.9528746133979,-1039.32843833773,336.28436706466374,29,relu,0.0001,"(50, 50)",adaptive,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03102002143859863,0.000237381903378758,0.0003604412078857422,5.902774095704567e-06,relu,0.0001,"(50, 50)",adaptive,sgd,-4228912.975507512,-5154687.538176234,-3692542.2556708744,-4314594.539086071,-4372396.583971532,-4352626.778482445,468221.1958006721,39,relu,0.0001,"(50, 50)",adaptive,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06833944320678711,0.01998909534292517,0.00036177635192871096,2.5078189453706184e-06,relu,0.001,"(50,)",constant,adam,-455.4449703911724,-875.3124792753282,-562.3422924302845,-275.3423315118375,-181.76419371868056,-470.0412534654606,242.48242539580266,19,relu,0.001,"(50,)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2736361980438232,0.0007352413451480151,0.0003758907318115234,1.4237083153182171e-05,relu,0.001,"(50,)",constant,sgd,-191978851.0753884,-223397785.23782906,-186762868.26859125,-196451676.88812315,-266401814.70605803,-212998599.23519796,29543156.647042755,41,relu,0.001,"(50,)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06777458190917969,0.019932565485558343,0.00036716461181640625,1.0533677117526303e-05,relu,0.001,"(50,)",adaptive,adam,-455.4449703911724,-875.3124792753282,-562.3422924302845,-275.3423315118375,-181.76419371868056,-470.0412534654606,242.48242539580266,19,relu,0.001,"(50,)",adaptive,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.27396459579467775,0.0007667703176093996,0.0003738880157470703,1.460741428121167e-05,relu,0.001,"(50,)",adaptive,sgd,-191978851.0753884,-223397785.23782906,-186762868.26859125,-196451676.88812315,-266401814.70605803,-212998599.23519796,29543156.647042755,41,relu,0.001,"(50,)",adaptive,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1438349723815918,0.07433203900211566,0.0003739833831787109,1.1216929037988378e-05,relu,0.001,"(100,)",constant,adam,-357.0377758703865,-251.7181112376623,-368.82470676009166,-2233.539171926283,-142.7187601198056,-670.7677051828458,785.6575527134161,23,relu,0.001,"(100,)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3665919303894043,0.008952907835654838,0.0003893852233886719,1.5596584656141464e-05,relu,0.001,"(100,)",constant,sgd,-252878603.3081721,-224136786.2635808,-251712280.5586239,-250595853.48850763,-239298076.83617595,-243724320.0910121,10936996.806040961,45,relu,0.001,"(100,)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14498567581176758,0.07529468006003236,0.0003695487976074219,8.448230389947384e-06,relu,0.001,"(100,)",adaptive,adam,-357.0377758703865,-251.7181112376623,-368.82470676009166,-2233.539171926283,-142.7187601198056,-670.7677051828458,785.6575527134161,23,relu,0.001,"(100,)",adaptive,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3661144256591797,0.0048214870957608525,0.0004055500030517578,1.6880978272392944e-05,relu,0.001,"(100,)",adaptive,sgd,-252878603.3081721,-224136786.2635808,-251712280.5586239,-250595853.48850763,-239298076.83617595,-243724320.0910121,10936996.806040961,45,relu,0.001,"(100,)",adaptive,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01958003044128418,0.0034372297199071534,0.00036334991455078125,1.28348053299854e-05,relu,0.001,"(50, 50)",constant,adam,-1317.4289579751455,-1066.7209848695477,-1275.9652151231815,-1185.1206510702611,-382.72767535248676,-1045.5926968781246,342.4239890330269,31,relu,0.001,"(50, 50)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005449819564819336,2.7079732931086776e-05,0.0003588676452636719,1.705611254973093e-05,relu,0.001,"(50, 50)",constant,sgd,-4228912.918860308,-5154687.465944247,-3692542.2014996777,-4314594.480032186,-4372396.525945353,-4352626.718456355,468221.189790672,37,relu,0.001,"(50, 50)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019727325439453124,0.0035558412790425674,0.00036163330078125,3.540816920421023e-06,relu,0.001,"(50, 50)",adaptive,adam,-1317.4289579751455,-1066.7209848695477,-1275.9652151231815,-1185.1206510702611,-382.72767535248676,-1045.5926968781246,342.4239890330269,31,relu,0.001,"(50, 50)",adaptive,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.031685161590576175,0.0003301657946994966,0.0003726482391357422,1.0782214997583963e-05,relu,0.001,"(50, 50)",adaptive,sgd,-4228912.918860308,-5154687.465944247,-3692542.2014996777,-4314594.480032186,-4372396.525945353,-4352626.718456355,468221.189790672,37,relu,0.001,"(50, 50)",adaptive,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2200070858001709,0.022854453491744826,0.00037789344787597656,1.011973830786309e-05,tanh,0.0001,"(50,)",constant,adam,-57.783893992222964,-87.9995151687327,-187.0955890620047,-108.7844617302711,-86.03773579596734,-105.54023914983978,43.887340354844156,1,tanh,0.0001,"(50,)",constant,adam,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01900205612182617,0.005298723217306834,0.00034852027893066405,5.620613709025257e-06,tanh,0.0001,"(50,)",constant,sgd,-75.75243926753812,-164.96692083341185,-308.82231104021497,-170.55458714124498,-277.3672504045028,-199.49270173738253,84.09340685206162,8,tanh,0.0001,"(50,)",constant,sgd,vo2max_bpm,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
