Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight,fit_kwargs,model_kwargs
SALIVA,0.8,XGBoost Regressor (GridSearchCV),8.088494589094438,6.3451118977864605,15.02418945345122,0.1267695519276913,,,,0.01,,vo2max_relative,,6.0,,100.0,,,,1.0,0.8,,,,,,,
SALIVA,0.8,XGBoost Regressor (GridSearchCV),8.343689251504086,6.692686496310766,15.616238941149248,0.0707989028355254,,,,0.01,,vo2max_relative,,3.0,,50.0,,,,0.8,0.8,,,,,,,
SERUM,0.8,XGBoost Regressor (GridSearchCV),7.98542044835135,6.077342834472656,15.264743015843576,0.2765779116146638,,,,0.1,,vo2max_relative,,3.0,,50.0,,,,0.8,1.0,,,,,,,
SERUM,0.8,XGBoost Regressor (GridSearchCV),7.106658042961316,5.698590698242187,14.106019755886184,0.4270364068736989,,,,0.1,,vo2max_relative,,3.0,,50.0,,,,0.8,0.8,,,,,,,
URINE,0.8,XGBoost Regressor (GridSearchCV),9.63667035743107,7.713757754594852,19.50805574701282,0.0031574910613405,,,,0.01,,vo2max_relative,,10.0,,100.0,,,,1.0,0.8,,,,,,,
URINE,0.8,XGBoost Regressor (GridSearchCV),10.29995356585305,8.104116821289061,20.5480881041953,-0.1387885101716337,,,,0.01,,vo2max_relative,,6.0,,100.0,,,,0.8,0.8,,,,,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),9.07211794661196,7.188898805306014,16.32854672560357,-0.0428164374107007,logistic,1e-06,,,adam,vo2max_relative,,,,,,,,,,0.007452049683855,500.0,,,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),7.962280615799748,6.460032461171782,14.666805271930214,0.1967227796068447,logistic,1e-06,,,sgd,vo2max_relative,,,,,,,,,,0.0001,1147.0,,,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),7.759793203225589,6.604973405130695,14.947701332532793,0.2370592928553544,logistic,0.0001419196897449,,,sgd,vo2max_relative,,,,,,,,,,0.0001,2306.0,,,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),7.270653233962837,5.843829587012402,13.49412808528504,0.3302120094427372,relu,0.1,,,sgd,vo2max_relative,,,,,,,,,,0.01,2610.0,,,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),7.928834114703823,6.365685486749483,14.712741359623246,0.2779281208256922,logistic,1e-06,,,sgd,vo2max_relative,,,,,,,,,,0.01,1409.0,,,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),8.32112205284819,6.604334778725421,14.350694761063254,0.2047099428779268,logistic,0.1,,,sgd,vo2max_relative,,,,,,,,,,0.0005681549091649,500.0,,,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),8.751528788887297,6.6684040339331325,15.357826254770416,0.1203100711588897,logistic,1e-06,,,sgd,vo2max_relative,,,,,,,,,,0.0001,3000.0,,,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),9.376668491488113,7.77983392645147,18.135469454154048,-0.0098547029374327,relu,0.0975489487542991,,,sgd,vo2max_relative,,,,,,,,,,0.000254523828001,2599.0,,,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),8.834799198375839,6.476897342012667,16.042048021006096,-0.0418059609057557,logistic,1.3422198327296171e-05,,,sgd,vo2max_relative,,,,,,,,,,0.0025554919317619,500.0,,,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),8.072438179854464,6.494313625587552,15.100796485486253,0.1302329971571012,logistic,0.0008040304803002,,,sgd,vo2max_relative,,,,,,,,,,0.0001553414886136,1044.0,,,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),7.447693542905333,5.746313045935432,13.563667251613296,0.259650021917301,logistic,0.0591626901913586,,,sgd,vo2max_relative,,,,,,,,,,0.0001,3000.0,,,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),8.670526923497196,7.159427690067457,16.053623962682206,-0.0034239301393454,tanh,0.0191906401723245,,,adam,vo2max_relative,,,,,,,,,,0.002762911204432,1363.0,,,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),7.530140176564723,5.534646022887427,13.99629539992024,0.3567166487600419,logistic,0.0029054624104165,,,sgd,vo2max_relative,,,,,,,,,,0.0001010143979764,500.0,,,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),7.406597650690007,5.782647742342678,14.335735847938103,0.3776514298806211,logistic,1e-06,,,sgd,vo2max_relative,,,,,,,,,,0.0001,694.0,,,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),7.623666513255676,5.637425757142438,14.20514101040312,0.3406379145301246,logistic,0.000364611493607,,,sgd,vo2max_relative,,,,,,,,,,0.0001015920950388,2048.0,,,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),12.307975365977128,9.390634990857192,25.497960455201,-0.7185787069854552,relu,0.1,,,sgd,vo2max_relative,,,,,,,,,,0.0003566722083953,592.0,,,,,
URINE,0.8,MLP Regressor (BayesSearchCV),9.603379450253303,7.287440408073644,18.51754519682041,0.010032992303241,logistic,0.0003555592264453,,,sgd,vo2max_relative,,,,,,,,,,0.0001,550.0,,,,,
URINE,0.8,MLP Regressor (BayesSearchCV),10.761949561672315,8.703223708846075,21.98449558339556,-0.2432384912011869,logistic,0.1,,,sgd,vo2max_relative,,,,,,,,,,0.0075622713961692,1170.0,,,,,
URINE,0.8,MLP Regressor (BayesSearchCV),9.977651856560868,7.50592706374993,19.48109075159443,-0.0686346101122625,logistic,0.0002438338674599,,,sgd,vo2max_relative,,,,,,,,,,0.0001949086602741,554.0,,,,,
URINE,0.8,MLP Regressor (BayesSearchCV),10.15942316868211,8.263294516415895,21.029715169806188,-0.1079257178732997,tanh,0.0001099627103376,,,adam,vo2max_relative,,,,,,,,,,0.0023164773086857,1346.0,,,,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),8.2024798486879,6.641946382026167,15.375560550340769,0.147526599592986,,,,,,vo2max_relative,,12.0,,188.0,1.0,2.0,,,,,,True,,,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),7.550980077784607,5.889414955751754,13.621349721432802,0.2775677228934378,,,,,,vo2max_relative,,11.0,,74.0,7.0,8.0,,,,,,True,,,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),8.176848707653978,6.546313871113096,15.233111705307657,0.1528459001174,,,,,,vo2max_relative,,6.0,,125.0,2.0,9.0,,,,,,True,,,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),7.653579179918132,5.999541605972374,13.688464712762288,0.2578022191081763,,,,,,vo2max_relative,,12.0,,50.0,1.0,2.0,,,,,,True,,,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),8.658839460704867,6.684056680727515,15.762488409769468,0.1388453643396333,,,,,,vo2max_relative,,11.0,,270.0,1.0,3.0,,,,,,True,,,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),7.891592104512182,6.189177820203865,13.83482453992195,0.2846953839451357,,,,,,vo2max_relative,,3.0,,222.0,9.0,20.0,,,,,,True,,,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),8.537357763007691,6.590908193761832,15.556114696076603,0.1628394960422863,,,,,,vo2max_relative,,15.0,,102.0,1.0,2.0,,,,,,True,,,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),7.911390597834642,6.215287818969738,13.914841583327044,0.2811017571353519,,,,,,vo2max_relative,,3.0,,300.0,9.0,20.0,,,,,,True,,,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),7.635582091040569,5.865119250238619,13.890023398652454,0.2218241062629465,,,,,,vo2max_relative,,9.0,,59.0,10.0,6.0,,,,,,True,,,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),8.022953814937123,6.275772480458231,14.641924186627294,0.1408637257575525,,,,,,vo2max_relative,,3.0,,270.0,9.0,3.0,,,,,,True,,,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),7.916685149856442,6.152009791434772,14.668752608091271,0.1634725083292831,,,,,,vo2max_relative,,5.0,,168.0,3.0,7.0,,,,,,True,,,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),8.026408267278699,6.283114575452403,14.65072663697558,0.1401237279170993,,,,,,vo2max_relative,,3.0,,300.0,9.0,2.0,,,,,,True,,,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),7.832231413053377,5.999029170146983,15.25030378125568,0.3040673510535144,,,,,,vo2max_relative,,15.0,,300.0,3.0,3.0,,,,,,True,,,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),7.046513399297743,5.484166320400886,13.5682033761161,0.4366935109871582,,,,,,vo2max_relative,,3.0,,68.0,10.0,12.0,,,,,,True,,,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),7.83108558094525,5.997936701562327,15.248462201120669,0.3042709619025755,,,,,,vo2max_relative,,10.0,,300.0,3.0,2.0,,,,,,True,,,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),7.079362313264537,5.542054060853978,13.69872967509076,0.4314293084954035,,,,,,vo2max_relative,,3.0,,50.0,9.0,8.0,,,,,,True,,,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),9.719114533475464,7.576179993173064,19.300359127211856,-0.0139719547299748,,,,,,vo2max_relative,,15.0,,244.0,4.0,13.0,,,,,,True,,,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),10.16536881180342,7.832394044258843,19.77561895495177,-0.1092228896477325,,,,,,vo2max_relative,,8.0,,86.0,1.0,2.0,,,,,,True,,,,
