Wavenumber (cm⁻¹),Importance
2879.220155030153,7.817586508628597e-05
2877.291675354983,6.920511588561812e-05
2875.363195679812,3.6958698352587083e-05
2873.434716004641,6.6658768440795096e-06
2871.50623632947,4.882941656793255e-05
2869.577756654299,8.213820250253939e-05
2867.649276979128,0.0001088449403835901
2865.720797303957,0.00014045941967054206
2863.792317628786,0.00018724276854639475
2861.863837953616,0.00024638716550706133
2859.935358278445,0.00030912774728408354
2858.006878603273,0.0003658348952891712
2856.078398928103,0.0004099490571410312
2854.149919252932,0.0004410428888128191
2852.221439577761,0.0004541130401596676
2850.29295990259,0.0004440980821062757
2848.364480227419,0.00041259209757415815
2846.436000552248,0.0003596208415118912
2844.507520877077,0.0002923438718718484
2842.579041201906,0.000229940205205773
2840.650561526736,0.0001846354066024674
2838.722081851565,0.000159356652889192
2836.793602176394,0.00014541614557754616
2834.865122501223,0.0001272798189573412
2832.936642826052,0.00010639409707734552
2831.008163150881,9.61722814166775e-05
2829.07968347571,9.849406893698674e-05
2827.151203800539,0.00010116261818059236
2825.222724125369,9.051398816972327e-05
2823.294244450197,6.878462912339071e-05
2821.365764775026,5.7400557390392366e-05
2819.437285099856,6.015048239852437e-05
2817.508805424685,4.946083421478005e-05
2815.580325749514,2.2120272262245065e-05
2813.651846074343,1.1161972177139818e-06
2811.723366399172,1.8898023861032573e-05
2809.794886724001,1.8511800994892815e-05
2807.86640704883,4.3368530740418694e-06
2805.937927373659,8.611013384838782e-06
2804.009447698489,4.0714960882450156e-05
2802.080968023317,5.202741516385013e-05
2800.152488348147,3.374928329184182e-05
2798.224008672976,6.257058801873625e-05
2796.295528997805,9.111426267312794e-05
2794.367049322634,7.700109206911236e-05
2792.438569647463,7.297733608463295e-05
2790.510089972292,4.63427650764233e-05
2788.581610297121,2.248037482661086e-05
2786.65313062195,6.958973913725782e-05
2784.72465094678,0.0001219246852171762
2782.796171271609,0.00013716835258824017
2780.867691596438,0.00012041508340123358
2778.939211921267,9.543991998597512e-05
2777.010732246096,9.546704859367131e-05
2775.082252570925,6.585876366039235e-05
2773.153772895754,2.7988067819122284e-05
2771.225293220583,5.547500973035597e-05
2769.296813545412,0.00010417051641108494
2767.368333870241,0.00014884211076336655
2765.43985419507,0.00017143196379842154
2763.5113745199,0.00014436270573996873
2761.582894844729,0.00010521736975888134
2759.654415169558,5.7716632670344466e-05
2757.725935494387,6.89175724314407e-08
2755.797455819216,4.078265939369847e-05
2753.868976144045,1.9663598185377542e-05
2751.940496468874,0.0001299305514498594
2750.012016793703,0.00031413299397406756
2748.083537118532,0.0003470934010134574
2746.155057443361,0.00018643846883969318
2744.226577768191,7.135527455904005e-05
2742.29809809302,0.00020329516370629723
2740.369618417849,8.871062666307927e-05
2738.441138742678,0.00017461731886205724
2736.512659067507,0.00042166186341293955
2734.584179392336,0.0004554097691680552
2732.655699717165,0.0002580982747300452
2730.727220041994,0.00013782927430088028
2728.798740366823,0.00030707703469010295
2726.870260691652,0.0006741481754551979
2724.941781016481,0.0010296298928567603
2723.013301341311,0.0012085885958385827
2721.08482166614,0.0012374025084473154
2719.156341990969,0.0011520199178138549
2717.227862315798,0.0006996869407103113
2715.299382640627,0.00028920982383336493
2713.370902965456,0.00146314464212106
2711.442423290285,0.0025127893760313437
2709.513943615114,0.0023637036267707408
2707.585463939944,0.001379058943620724
2705.656984264772,0.0006907954366021659
2703.728504589601,0.00020390904662505687
2701.800024914431,8.594283178537249e-06
2699.87154523926,0.00026805143306060945
2697.943065564089,0.0005099015361264813
2696.014585888918,0.0005556840961468459
2694.086106213747,0.000593240491189132
2692.157626538576,0.0005241996068809427
2690.229146863405,0.00030150386485038104
2688.300667188234,0.00016501111553742374
2686.372187513064,0.000147435528712952
2684.443707837893,0.0001514185626241937
2682.515228162722,0.00020952011036115404
2680.586748487551,0.0002338100037421069
2678.65826881238,0.0001431033012587709
2676.729789137209,0.00010439191301744424
2674.801309462038,0.00015507314177579497
2672.872829786867,0.0001467036384423605
2670.944350111697,0.00010256382378437192
2669.015870436525,4.249604668126778e-05
2667.087390761355,0.00011814579064069572
2665.158911086184,0.0003202857972268151
2663.230431411013,0.0004526156205867411
2661.301951735842,0.0005095564818318199
2659.373472060671,0.0004785002970316083
2657.4449923855,0.0004104797153844465
2655.516512710329,0.00041870582352095554
2653.588033035158,0.0004867358884215911
2651.659553359988,0.0005661320436383063
2649.731073684817,0.0006484859473262256
2647.802594009645,0.0007141539356935312
2645.874114334475,0.0007689164095789101
2643.945634659304,0.0007910986294836064
2642.017154984133,0.000766647580465211
2640.088675308962,0.0007583045885465485
2638.160195633791,0.0008077267388912388
2636.23171595862,0.0008838494130593846
2634.303236283449,0.000930672120804228
2632.374756608278,0.000946445830397807
2630.446276933108,0.0009709100072326516
2628.517797257937,0.0010094828128627488
2626.589317582765,0.0010598063734705212
2624.660837907595,0.001104930902102373
2622.732358232424,0.001121452239121547
2620.803878557253,0.0011361770307722451
2618.875398882082,0.0011647594526186832
