Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
URINE,0.8,Random Forest Regressor (GridSearchCV),1.484633409917109,0.7498026315789468,4.779729013708183,-0.002268224759648163,,,,,,rdw,absolute_error,4.0,log2,100.0,,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),1.3757981366539616,0.7897435897435893,5.102049609314769,0.08875159050193371,,,,,,rdw,absolute_error,10.0,,,2.0,10.0,random,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),1.4775022235221238,0.7653846153846152,4.856330658808084,-0.05095382638365753,,,,,,rdw,absolute_error,10.0,,,1.0,5.0,random,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),1.3757981366539616,0.7897435897435893,5.102049609314769,0.08875159050193371,,,,,,rdw,absolute_error,10.0,,,2.0,10.0,random,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),1.4775022235221238,0.7653846153846152,4.856330658808084,-0.05095382638365753,,,,,,rdw,absolute_error,10.0,,,1.0,5.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.3666781323563044,0.8078590325018892,5.269049042081424,0.07477337466869505,,,,,,rdw,squared_error,,,,4.0,2.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.434440325569191,0.8166666666666664,5.304487416296905,-0.019249724101328303,,,,,,rdw,absolute_error,,,,4.0,10.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.3666781323563044,0.8078590325018892,5.269049042081424,0.07477337466869505,,,,,,rdw,squared_error,,,,4.0,2.0,random,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),1.434440325569191,0.8166666666666664,5.304487416296905,-0.019249724101328303,,,,,,rdw,absolute_error,,,,4.0,10.0,random,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.4812116983193506,0.6464285714285717,4.015272849354386,0.06757567434733547,,,,,,rdw,absolute_error,10.0,,,4.0,2.0,random,,,,,,,
